Dinlenenler : rssis:-109.00, snr:-16.20, rssi:-94.00, dest_mac:AA:55:5A:00:00:00:00:00, server: 127.0.0.1, data: QDDaAAFMlTXOAIRlAGMKIkyAsUhjbZXKbOcbYN6+xVyRiXatPLt8afMub+Izf0ww6X8E8Q==
Dinlenenler : rssis:-109.00, snr:-16.20, rssi:-94.00, dest_mac:AA:55:5A:00:00:00:00:00, server: 127.0.0.1, data: QDDaAAFMlTXOAIRlAGMKIkyAsUhjbZXKbOcbYN6+xVyRiXatPLt8afMub+Izf0ww6X8E8Q==
Dinlenenler : rssis:-109.00, snr:-16.20, rssi:-94.00, dest_mac:AA:55:5A:00:00:00:00:00, server: 127.0.0.1, data: QDDaAAFMlTXOAIRlAGMKIkyAsUhjbZXKbOcbYN6+xVyRiXatPLt8afMub+Izf0ww6X8E8Q==
Dinlenenler : rssis:-109.00, snr:-16.20, rssi:-94.00, dest_mac:AA:55:5A:00:00:00:00:00, server: 127.0.0.1, data: QDDaAAFMlTXOAIRlAGMKIkyAsUhjbZXKbOcbYN6+xVyRiXatPLt8afMub+Izf0ww6X8E8Q==
Dinlenenler : rssis:-109.00, snr:-16.20, rssi:-94.00, dest_mac:AA:55:5A:00:00:00:00:00, server: 127.0.0.1, data: QDDaAAFMlTXOAIRlAGMKIkyAsUhjbZXKbOcbYN6+xVyRiXatPLt8afMub+Izf0ww6X8E8Q==
Dinlenenler : rssis:-109.00, snr:-16.20, rssi:-94.00, dest_mac:AA:55:5A:00:00:00:00:00, server: 127.0.0.1, data: QDDaAAFMlTXOAIRlAGMKIkyAsUhjbZXKbOcbYN6+xVyRiXatPLt8afMub+Izf0ww6X8E8Q==
Dinlenenler : rssis:-109.00, snr:-16.20, rssi:-94.00, dest_mac:AA:55:5A:00:00:00:00:00, server: 127.0.0.1, data: QDDaAAFMlTXOAIRlAGMKIkyAsUhjbZXKbOcbYN6+xVyRiXatPLt8afMub+Izf0ww6X8E8Q==
Dinlenenler : rssis:-108.00, snr:-15.80, rssi:-94.00, dest_mac:AA:55:5A:00:00:00:00:00, server: 127.0.0.1, data: QDDaAAEtEUZpAH9SAC7+aB3rgqQF1ZrNEsgsEBMmjmUppuzUfPQVNmguX6eNn1kzGPST/w==
Dinlenenler : rssis:-108.00, snr:-15.80, rssi:-94.00, dest_mac:AA:55:5A:00:00:00:00:00, server: 127.0.0.1, data: QDDaAAEtEUZpAH9SAC7+aB3rgqQF1ZrNEsgsEBMmjmUppuzUfPQVNmguX6eNn1kzGPST/w==
Dinlenenler : rssis:-108.00, snr:-15.80, rssi:-94.00, dest_mac:AA:55:5A:00:00:00:00:00, server: 127.0.0.1, data: QDDaAAEtEUZpAH9SAC7+aB3rgqQF1ZrNEsgsEBMmjmUppuzUfPQVNmguX6eNn1kzGPST/w==
Dinlenenler : rssis:-108.00, snr:-15.80, rssi:-94.00, dest_mac:AA:55:5A:00:00:00:00:00, server: 127.0.0.1, data: QDDaAAEtEUZpAH9SAC7+aB3rgqQF1ZrNEsgsEBMmjmUppuzUfPQVNmguX6eNn1kzGPST/w==
Dinlenenler : rssis:-108.00, snr:-15.80, rssi:-94.00, dest_mac:AA:55:5A:00:00:00:00:00, server: 127.0.0.1, data: QDDaAAEtEUZpAH9SAC7+aB3rgqQF1ZrNEsgsEBMmjmUppuzUfPQVNmguX6eNn1kzGPST/w==
